id,fname,lname,nickname,division,rank,style,country,debut
119,Alexander,Volkov,Drago,Heavyweight,3,Brazilian Jiu-Jitsu,Russia,2016-11-19
120,Sergei,Pavlovich,,Heavyweight,4,MMA,Russia,2018-11-24
121,Curtis,Blaydes,Razor,Heavyweight,5,MMA,United States,2016-04-10
122,Jailton,Almeida,Malhadinho,Heavyweight,6,Boxing,Brazil,2021-11-13
123,Serghei,Spivac,Polar Bear,Heavyweight,7,Sambo,Moldova,2019-05-04
124,Stipe,Miocic,,Heavyweight,8,MMA,United States,2011-10-09
125,Jairzinho,Rozenstruik,Bigi Boy,Heavyweight,9,MMA,Suriname,2019-02-02
126,Marcin,Tybura,Tybur,Heavyweight,10,MMA,Poland,2016-04-10
127,Derrick,Lewis,The Black Beast,Heavyweight,11,Brawler,United States,2014-04-19
128,Tai,Tuivasa,Bam Bam,Heavyweight,12,MMA,Australia,2017-11-18
129,Alexandr,Romanov,King Kong,Heavyweight,13,Wrestler,Moldova,2020-04-25
130,Marcos,Rogerio de Lima,Pezao,Heavyweight,14,Striker,Brazil,2014-05-31
131,Rodrigo,Nascimento,Ze' Colmeia,Heavyweight,15,Jiu-Jitsu,Brazil,2019-07-30
132,Tatiana,Suarez,,Women's Strawweight,1,MMA,United States,2016-07-09
133,Yan,Xiaonan,,Women's Strawweight,2,Striker,China,2017-11-25
134,Virna,Jandiroba,Carcara,Women's Strawweight,3,Jiu-Jitsu,Brazil,2019-04-27
135,Jéssica,Andrade,Bate Estaca,Women's Strawweight,4,Muay Thai,Brazil,2013-07-27
136,Amanda,Lemos,,Women's Strawweight,5,Boxing,Brazil,2017-07-16
137,Mackenzie,Dern,,Women's Strawweight,6,Brazilian Jiu-Jitsu,United States,2018-03-03
138,Iasmin,Lucindo,,Women's Strawweight,7,Striker,Brazil,2022-08-13
139,Amanda,Ribas,,Women's Strawweight,8,Judo,Brazil,2019-06-29
140,Marina,Rodriguez,,Women's Strawweight,9,Muay Thai,Brazil,2018-09-23
141,Tabatha,Ricci,Baby Shark,Women's Strawweight,10,Judo,Brazil,2021-06-05
142,Loopy,Godinez,,Women's Strawweight,11,MMA,Mexico,2021-04-17
143,Angela,Hill,Overkill,Women's Strawweight,12,Muay Thai,United States,2014-12-12
144,Luana,Pinheiro,,Women's Strawweight,13,Judo,Brazil,2021-03-27
145,Gillian,Robertson,The Savage,Women's Strawweight,14,MMA,Canada,2017-12-01
146,Tecia,Pennington,Tiny Tornado,Women's Strawweight,15,Kickboxer,United States,2014-12-12
147,Alexa,Grasso,,Women's Flyweight,1,MMA,Mexico,2016-11-06
148,Manon,Fiorot,The Beast,Women's Flyweight,2,Karate,France,2021-01-20
149,Erin,Blanchfield,Cold Blooded,Women's Flyweight,3,Jiu-Jitsu,United States,2021-09-18
150,Maycee,Barber,The Future,Women's Flyweight,4,Freestyle,United States,2018-11-10
151,Rose,Namajunas,Thug,Women's Flyweight,5,MMA,United States,2014-12-12
152,Natalia,Silva,,Women's Flyweight,6,Taekwondo,Brazil,2022-06-18
153,Katlyn,Cerminara,Blonde Fighter,Women's Flyweight,7,MMA,United States,2016-07-14
154,Jéssica,Andrade,Bate Estaca,Women's Flyweight,8,Muay Thai,Brazil,2013-07-27
155,Viviane,Araújo,Vivi,Women's Flyweight,9,MMA,Brazil,2019-05-11
156,Amanda,Ribas,,Women's Flyweight,10,Judo,Brazil,2019-06-29
157,Karine,Silva,Killer,Women's Flyweight,11,Brazilian Jiu-Jitsu,Brazil,2022-06-04
158,Tracy,Cortez,,Women's Flyweight,12,MMA,United States,2019-11-16
159,Ariane,da Silva,The Queen,Women's Flyweight,13,Striker,Brazil,2019-01-19
160,Jasmine,Jasudavicius,,Women's Flyweight,14,Brawler,Canada,2022-01-22
161,Casey,O'Neill,King,Women's Flyweight,15,MMA,Scotland,2021-02-20
162,Raquel,Pennington,Rocky,Women's Bantamweight,1,Freestyle,United States,2013-12-01
163,Kayla,Harrison,,Women's Bantamweight,2,Judo,United States,2024-04-13
164,Ketlen,Vieira,Fenomeno,Women's Bantamweight,3,Judo,Brazil,2016-10-02
165,Macy,Chiasson,,Women's Bantamweight,4,MMA,United States,2018-11-30
166,Norma,Dumont,The Immortal,Women's Bantamweight,5,MMA,Brazil,2020-02-29
167,Irene,Aldana,,Women's Bantamweight,6,Striker,Mexico,2016-12-18
168,Mayra,Bueno Silva,Sheetara,Women's Bantamweight,7,Striker,Brazil,2018-09-23
169,Holly,Holm,The Preacher's Daughter,Women's Bantamweight,8,Kickboxer,United States,2015-02-28
170,Karol,Rosa,,Women's Bantamweight,9,Muay Thai,Brazil,2019-08-31
171,Yana,Santos,,Women's Bantamweight,10,MMA,Russia,2018-03-03
172,Miesha,Tate,Cupcake,Women's Bantamweight,11,Grappler,United States,2012-08-19
173,Julia,Avila,Raging Panda,Women's Bantamweight,12,MMA,United States,2019-07-06
174,Germaine,de Randamie,The Iron Lady,Women's Bantamweight,13,Muay Thai,Netherlands,2012-08-19
175,Ailin,Perez,Fiona,Women's Bantamweight,14,Kung Fu,Argentina,2022-09-03
176,Chelsea,Chandler,,Women's Bantamweight,15,MMA,United States,2022-10-01
